key;type;label_de;label_en;option_value;option_label_de;option_label_en
branche;select;In welcher Branche ist Ihr Unternehmen tätig?;In which industry is your company active?;it;IT & Software;IT & software
branche;select;In welcher Branche ist Ihr Unternehmen tätig?;In which industry is your company active?;beratung;Beratung & Dienstleistungen;Consulting & services
branche;select;In welcher Branche ist Ihr Unternehmen tätig?;In which industry is your company active?;gesundheit;Gesundheit & Pflege;Health & care
branche;select;In welcher Branche ist Ihr Unternehmen tätig?;In which industry is your company active?;bau;Bauwesen & Architektur;Construction & architecture
branche;select;In welcher Branche ist Ihr Unternehmen tätig?;In which industry is your company active?;industrie;Industrie & Produktion;Industry & production
branche;select;In welcher Branche ist Ihr Unternehmen tätig?;In which industry is your company active?;medien;Medien & Kreativwirtschaft;Media & creative industries
branche;select;In welcher Branche ist Ihr Unternehmen tätig?;In which industry is your company active?;logistik;Transport & Logistik;Transport & logistics
branche;select;In welcher Branche ist Ihr Unternehmen tätig?;In which industry is your company active?;handel;Handel & E-Commerce;Retail & e-commerce
branche;select;In welcher Branche ist Ihr Unternehmen tätig?;In which industry is your company active?;verwaltung;Verwaltung;Administration
branche;select;In welcher Branche ist Ihr Unternehmen tätig?;In which industry is your company active?;marketing;Marketing & Werbung;Marketing & advertising
branche;select;In welcher Branche ist Ihr Unternehmen tätig?;In which industry is your company active?;finanzen;Finanzen & Versicherungen;Finance & insurance
branche;select;In welcher Branche ist Ihr Unternehmen tätig?;In which industry is your company active?;bildung;Bildung;Education
unternehmensgroesse;select;Wie groß ist Ihr Unternehmen?;How large is your company (number of employees)?;kmu;11–100 (KMU);11–100 (SME)
unternehmensgroesse;select;Wie groß ist Ihr Unternehmen?;How large is your company (number of employees)?;solo;1 (Solo-Selbstständig/Freiberuflich);1 (sole proprietor / freelancer)
unternehmensgroesse;select;Wie groß ist Ihr Unternehmen?;How large is your company (number of employees)?;team;2–10 (Kleines Team);2–10 (small team)
selbststaendig;select;Unternehmensform bei 1 Person;Legal form for a single person;einzelunternehmer;Einzelunternehmer (mit Gewerbe);Sole proprietorship (with trade licence)
selbststaendig;select;Unternehmensform bei 1 Person;Legal form for a single person;freiberufler;Freiberuflich/Selbstständig;Freelancer / self-employed
selbststaendig;select;Unternehmensform bei 1 Person;Legal form for a single person;kapitalgesellschaft;1-Personen-Kapitalgesellschaft (GmbH/UG);Single-member corporation (GmbH/UG)
selbststaendig;select;Unternehmensform bei 1 Person;Legal form for a single person;sonstiges;Sonstiges;Other
bundesland;select;Bundesland (regionale Fördermöglichkeiten);State (regional funding opportunities);bw;Baden-Württemberg;Baden-Württemberg
bundesland;select;Bundesland (regionale Fördermöglichkeiten);State (regional funding opportunities);bb;Brandenburg;Brandenburg
bundesland;select;Bundesland (regionale Fördermöglichkeiten);State (regional funding opportunities);ni;Niedersachsen;Niedersachsen
bundesland;select;Bundesland (regionale Fördermöglichkeiten);State (regional funding opportunities);st;Sachsen-Anhalt;Sachsen-Anhalt
bundesland;select;Bundesland (regionale Fördermöglichkeiten);State (regional funding opportunities);nw;Nordrhein-Westfalen;Nordrhein-Westfalen
bundesland;select;Bundesland (regionale Fördermöglichkeiten);State (regional funding opportunities);mv;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern
bundesland;select;Bundesland (regionale Fördermöglichkeiten);State (regional funding opportunities);hb;Bremen;Bremen
bundesland;select;Bundesland (regionale Fördermöglichkeiten);State (regional funding opportunities);be;Berlin;Berlin
bundesland;select;Bundesland (regionale Fördermöglichkeiten);State (regional funding opportunities);sl;Saarland;Saarland
bundesland;select;Bundesland (regionale Fördermöglichkeiten);State (regional funding opportunities);sn;Sachsen;Sachsen
