# Datei: data/tools.csv
name,category,industry,target,use_case,gdpr_ai_act,hosting_model,data_residency,pricing_eur,pricing_tier,integration_effort_1to5,one_liner,homepage_url,vendor_region,company_size_fit,last_checked
ChatGPT Enterprise,Assistant,*,Wissensarbeit,Assistent & Recherche,yes,SaaS,Global,"Enterprise (Angebot)",€€€,2,"Sichere Unternehmens-Assistenz mit Admin-Kontrollen und DPA",https://openai.com/enterprise,US,Solo/Team/KMU,2025-10-06
Microsoft 365 Copilot,Office,*,Wissensarbeit,Office-Automatisierung,yes,SaaS,EU,"~30 €/Nutzer/Monat (Add-on)",€€,1,"KI in Word/Excel/Outlook; EU Data Boundary verfügbar",https://copilot.microsoft.com,Global,Team/KMU,2025-10-06
Google Duet AI,Office,*,Wissensarbeit,Workspace-Automatisierung,yes,SaaS,Global,"~30 €/Nutzer/Monat (Plan-abh.)",€€,1,"KI-Hilfe in Gmail/Docs/Sheets; Datenschutzfunktionen",https://workspace.google.com/intl/de/features/ai,Global,Team/KMU,2025-10-06
Claude for Teams,Assistant,*,Wissensarbeit,Schreiben & Auswerten,partial,SaaS,Global,"~20 €/Monat (Pro), Enterprise auf Anfrage",€€,1,"Großer Kontext, Team-Spaces; DPA/Policy-Kontrollen",https://www.anthropic.com,US,Solo/Team/KMU,2025-10-06
Perplexity Enterprise,Search,*,Wissensarbeit,Antworten mit Quellen,partial,SaaS,Global,"Pro ~20 €/Monat, Enterprise auf Anfrage",€€,1,"Recherche-Assistenz mit Zitaten; Unternehmens-Modus",https://www.perplexity.ai,US,Solo/Team/KMU,2025-10-06
Notion AI,Productivity,*,Wissensarbeit,Wissensmanagement & Schreiben,partial,SaaS,Global,"~10 €/Nutzer/Monat (Add-on)",€,1,"Zusammenfassen, Ideen, Q&A im Wiki",https://www.notion.so/product/ai,US,Solo/Team/KMU,2025-10-06
Grammarly Business,Productivity,*,Wissensarbeit,Text-Korrektur & Stil,partial,SaaS,Global,"~12 €/Nutzer/Monat",€,1,"KI-Lektorat für Mails & Doku; Teamfunktionen",https://www.grammarly.com/business,US,Solo/Team/KMU,2025-10-06
Zapier + AI,Automation,*,Ops/Backoffice,Workflow-Automatisierung,partial,SaaS,Global,"Freemium; Pro ab ~20 €/Monat",€–€€,2,"No-Code-Automationen, KI-Trigger; 6000+ Integrationen",https://zapier.com,US,Solo/Team/KMU,2025-10-06
Make.com,Automation,*,Ops/Backoffice,Prozess-Automatisierung,yes,SaaS,EU,"Freemium; Pläne variabel",€–€€,2,"Visuelle Automatisierungen, EU-Hosting-Optionen",https://www.make.com,EU,Solo/Team/KMU,2025-10-06
Canva Magic Studio,Content,*,Marketing/Design,Grafik & Präsentation,partial,SaaS,Global,"~12 €/Nutzer/Monat (Pro)",€,1,"KI-Design (Bilder, Decks) – sehr schnell",https://www.canva.com/magic-studio,Other,Solo/Team/KMU,2025-10-06
